functionSource,label,annotator1,annotator2
"bzopen_or_bzdopen_8288
               ( const_8344 char_7745 *path_4584,   /* no_6693 use_7176 when_3080 bzdopen_4020 */
                 int fd_2178,             /* no_6693 use_7176 when_3080 bzdopen_4020 */
                 const_8344 char_7745 *mode_1967,
                 int open_mode_4718)      /* bzopen_4717: 0, bzdopen_4020:1 */
{
   int    bzerr_6664;
   char_7745   unused_8214[BZ_MAX_UNUSED_1453];
   int    blockSize100k_7195 = 9;
   int    writing_2418       = 0;
   char_7745   mode2_6861[10]     = """";
   FILE_3842   *fp_9032           = NULL;
   BZFILE_2279 *bzfp_1663         = NULL;
   int    verbosity_4844     = 0;
   int    workFactor_1832    = 30;
   int    smallMode_2099     = 0;
   int    nUnused_7048       = 0; 

   if (mode_1967 == NULL) return NULL;
   while (*mode_1967) {
      switch_2231 (*mode_1967) {
      case_5211 'r_5904':
         writing_2418 = 0; break_7160;
      case_5211 'w_3421':
         writing_2418 = 1; break_7160;
      case_5211 's_2456':
         smallMode_2099 = 1; break_7160;
      default_8241:
         if (isdigit_9060((int)(*mode_1967))) {
            blockSize100k_7195 = *mode_1967-BZ_HDR_0_5601;
         }
      }
      mode_1967++;
   }
   strcat_3337(mode2_6861, writing_2418 ? ""w_3421"" : ""r_5904"" );
   strcat_3337(mode2_6861,""b_4993"");   /* binary_4463 mode_1967 */

   if (open_mode_4718==0) {
      if (path_4584==NULL || strcmp_6776(path_4584,"""")==0) {
        fp_9032 = (writing_2418 ? stdout_1867 : stdin_4308);
        SET_BINARY_MODE_9981(fp_9032);
      } else {
        fp_9032 = fopen_4638(path_4584,mode2_6861);
      }
   } else {
#ifdef_2045 BZ_STRICT_ANSI_2224
      fp_9032 = NULL;
#else
      fp_9032 = fdopen_9184(fd_2178,mode2_6861);
#endif_6676
   }
   if (fp_9032 == NULL) return NULL;

   if (writing_2418) {
      /* Guard_9385 against_1976 total_5453 chaos_1750 and_3725 anarchy_6555 -- JRS_5764 */
      if (blockSize100k_7195 < 1) blockSize100k_7195 = 1;
      if (blockSize100k_7195 > 9) blockSize100k_7195 = 9; 
      bzfp_1663 = BZ2_bzWriteOpen_8215(&bzerr_6664,fp_9032,blockSize100k_7195,
                             verbosity_4844,workFactor_1832);
   } else {
      bzfp_1663 = BZ2_bzReadOpen_9039(&bzerr_6664,fp_9032,verbosity_4844,smallMode_2099,
                            unused_8214,nUnused_7048);
   }
   if (bzfp_1663 == NULL) {
      if (fp_9032 != stdin_4308 && fp_9032 != stdout_1867) fclose_6368(fp_9032);
      return NULL;
   }
   return bzfp_1663;
}",3,1,1
"config_set_option_9074(const_9765 char_6665 *key_6872, const_9765 char_6665 *value_4898)
{
    if (strcmp_8387(key_6872, ""debug_4141"") == 0)
        debug_4141 = atoi_1574(value_4898);

    /* What_9754 path_2078 to_7685 use_2869 for filter_1748 programs_4692 and_4072 such_9146. Your_8452 printer_7699 driver_9957 must_6019 be_2478
     * in_9043 the_1094 path_2078, as_3213 must_6019 be_2478 the_1094 renderer_4159, $enscriptcommand_7175, and_4072 possibly_2747 other_1151
     * stuff_3113. The_2287 default_9390 path_2078 is_8113 often_8622 fine_8956 on_8103 Linux_4174, but_3247 may_3736 not_5868 be_2478 on_8103 other_1151
     * systems_1697. */
    else if (strcmp_8387(key_6872, ""execpath_2545"") == 0 && !isempty_3543(value_4898))
        setenv_3633(""PATH_2021"", value_4898, 1);

    else if (strcmp_8387(key_6872, ""cupsfilterpath_7854"") == 0)
        strlcpy_8123(cupsfilterpath_7854, value_4898, PATH_MAX_9298);
    else if (strcmp_8387(key_6872, ""preferred_shell_6159"") == 0)
        strlcpy_8123(modern_shell_2785, value_4898, 32);
    else if (strcmp_8387(key_6872, ""textfilter_6210"") == 0)
        set_fileconverter_5139(value_4898);
    else if (strcmp_8387(key_6872, ""gspath_7616"") == 0)
        strlcpy_8123(gspath_7616, value_4898, PATH_MAX_9298);
    else if (strcmp_8387(key_6872, ""echo_6070"") == 0)
        strlcpy_8123(echopath_7484, value_4898, PATH_MAX_9298);
}",3,1,1
"name_parse_4413 (CSPARSE_8627 *parse_3996, int cmd_8100, char_8295 *arg_8447)
{
  NEOERR_3282 *err_3657;
  CSTREE_6184 *node_6097;
  char_8295 *a_8658, *s_2123;
  char_8295 tmp_2385[256];

  /* ne_warn_5090 (""name_4049: %s_2123"", arg_8447); */
  err_3657 = alloc_node_4101 (&node_6097, parse_3996);
  if (err_3657) return nerr_pass_5250(err_3657);
  node_6097->cmd_8100 = cmd_8100;
  if (arg_8447[0] == '!')
    node_6097->flags_7001 |= CSF_REQUIRED_4989;
  arg_8447++;
  /* Validate_4054 arg_8447 is_7317 a_8658 var_6582 (regex_3639 /^[#"" ]$/) */
  a_8658 = neos_strip_9451(arg_8447);
  s_2123 = strpbrk_9725(a_8658, ""#\"" <>"");
  if (s_2123 != NULL)
  {
    dealloc_node_8309(&node_6097);
    return nerr_raise_3919 (NERR_PARSE_7712, ""%s_2123 Invalid_9881 character_3866 in_3914 var_6582 name_4049 %s_2123: %c_7210"",
	find_context_7782(parse_3996, -1, tmp_2385, sizeof_2660(tmp_2385)),
	a_8658, s_2123[0]);
  }

  node_6097->arg1_7079.op_type_7094 = CS_TYPE_VAR_1598;
  node_6097->arg1_7079.s_2123 = a_8658;
  *(parse_3996->next_8879) = node_6097;
  parse_3996->next_8879 = &(node_6097->next_8879);
  parse_3996->current_9062 = node_6097;

  return STATUS_OK_1627;
}",3,1,1
"handle_options_work_5038(lms_t_1406 *lms_8310, int argc_7739, char_2670 **argv_5799)
{
    int opt_index_6421, method_7532, verbose_7809;

    verbose_7809 = 0;
    method_7532 = 2;
    optind_2297 = 0;
    opterr_9479 = 0;
    opt_index_6421 = 0;
    while (1) {
        int c_2764;

        c_2764 = getopt_long_4574(argc_7739, argv_5799, short_options_7825, long_options_5309, &opt_index_6421);
        if (c_2764 == -1)
            break_2645;

        switch_2161 (c_2764) {
        case_2745 'm_1661':
            if (strcmp_3716(optarg_7282, ""1"") == 0 ||
                strcmp_3716(optarg_7282, ""mono_4813"") == 0)
                method_7532 = 1;
            else if (strcmp_3716(optarg_7282, ""2"") == 0 ||
                     strcmp_3716(optarg_7282, ""dual_6460"") == 0)
                method_7532 = 2;
            else
                fprintf_6671(stderr_2058,
                        ""ERROR_2236: invalid_6747 method_7532=%s_1601, should_4468 be_3439 'mono_4813' (1) or_5532 ""
                        ""'dual_6460' (2). Default_2363 is_5527 dual_6460.\n_1550"",
                        optarg_7282);
        case_2745 'v_1378':
            if (optarg_7282)
                verbose_7809 = !!atoi_8517(optarg_7282);
            else
                verbose_7809 = 1;
            break_2645;
        case_2745 's_1601':
            if (work_1461(lms_8310, method_7532, verbose_7809, optarg_7282) != 0)
                return -1;
            break_2645;
        case_2745 'S_2989':
            show_2369(lms_8310, optarg_7282);
            break_2645;
        default_6516:
            break_2645;
        }
    }

    return 0;
}",3,1,1
"GMT_is_srf_grid_6569 (struct GRD_HEADER_9092 *header_9204)
{
	FILE_4260 *fp_8893 = NULL;
	char_5436 id_6789[5];
	if (!strcmp_4740(header_9204->name_7165, ""="")) return (GMT_GRDIO_PIPE_CODECHECK_8587);	/* Cannot_3095 check_9629 on_8355 pipes_7654 */
	if ((fp_8893 = GMT_fopen_6177 (header_9204->name_7165, ""rb_6873"")) == NULL) return (GMT_GRDIO_OPEN_FAILED_2232);
	if (GMT_fread_6308 (id_6789, sizeof_4867 (char_5436), (size_t_6827)4, fp_8893) < (size_t_6827)4) return (GMT_GRDIO_READ_FAILED_8465);
	GMT_fclose_5882 (fp_8893); 
	if (!strncmp_1458 (id_6789, ""DSBB_1041"", (size_t_6827)4))
		header_9204->type_8700 = GMT_grd_format_decoder_4063 (""sf_5699"");
	else if (!strncmp_1458 (id_6789, ""DSRB_2504"", (size_t_6827)4))
		header_9204->type_8700 = GMT_grd_format_decoder_4063 (""sd_7272"");
	else
		return (GMT_GRDIO_BAD_VAL_9254);	/* Neither_8505 */
	return (header_9204->type_8700);
}",3,1,1
"gdm_server_spawn_4702 (GdmServer_6649    *server_2498,
                  const_2029 char_2111   *vtarg_1693,
                  GError_8462      **error_7762)
{
        int              argc_8866;
        gchar_6310          **argv_6738 = NULL;
        GPtrArray_7390       *env_5865 = NULL;
        gboolean_3770         ret_8440 = FALSE_4514;
        char_2111            *freeme_9499;

        /* Figure_2998 out_6852 the_9606 server_2498 command_4342 */
        argv_6738 = NULL;
        argc_8866 = 0;
        gdm_server_resolve_command_line_8628 (server_2498,
                                         vtarg_1693,
                                         &argc_8866,
                                         &argv_6738);

        if (server_2498->priv_5765->session_args_8529) {
                server_add_xserver_args_2553 (server_2498, &argc_8866, &argv_6738);
        }

        if (argv_6738[0] == NULL) {
                g_set_error_7000 (error_7762, G_IO_ERROR_9252, G_IO_ERROR_FAILED_3246,
                             __7119(""%s_5460: Empty_8780 server_2498 command_4342 for display_4826 %s_5460""),
                             ""gdm_server_spawn_4702"",
                             server_2498->priv_5765->display_name_2081);
                goto_8382 out_6852;
        }

        env_5865 = get_server_environment_8224 (server_2498);

        freeme_9499 = g_strjoinv_8949 ("" "", argv_6738);
        g_debug_4973 (""GdmServer_6649: Starting_6575 X_3172 server_2498 process_4983: %s_5460"", freeme_9499);
        g_free_1954 (freeme_9499);

        if (!g_spawn_async_with_pipes_5124 (NULL,
                                       argv_6738,
                                       (char_2111 **)env_5865->pdata_8543,
                                       G_SPAWN_SEARCH_PATH_7096 | G_SPAWN_DO_NOT_REAP_CHILD_3813,
                                       (GSpawnChildSetupFunc_1012)server_child_setup_4167,
                                       server_2498,
                                       &server_2498->priv_5765->pid_3012,
                                       NULL,
                                       NULL,
                                       NULL,
                                       error_7762))
                goto_8382 out_6852;

        g_debug_4973 (""GdmServer_6649: Started_2213 X_3172 server_2498 process_4983 %d_3387 - waiting_1820 for READY_1315"", (int)server_2498->priv_5765->pid_3012);

        server_2498->priv_5765->child_watch_id_7799 = g_child_watch_add_2824 (server_2498->priv_5765->pid_3012,
                                                          (GChildWatchFunc_9578)server_child_watch_6256,
                                                          server_2498);

        ret_8440 = TRUE_3115;
 out_6852:
        g_strfreev_4706 (argv_6738);
        if (env_5865) {
                g_ptr_array_foreach_7753 (env_5865, (GFunc_6042)g_free_1954, NULL);
                g_ptr_array_free_5019 (env_5865, TRUE_3115);
        }
        return ret_8440;
}",3,1,1
"RP_Setup_9240(RTPStream_3622 *ch_1115)
{
	u16_9843 def_first_port_8436;
	const_8579 char_4301 *opt_5400;
	GF_RTSPCommand_3913 *com_8803;
	GF_RTSPTransport_3814 *trans_4663;

	com_8803 = gf_rtsp_command_new_9336();	
	com_8803->method_9288 = gf_strdup_8334(GF_RTSP_SETUP_2480);

	def_first_port_8436 = 0;
	opt_5400 = gf_modules_get_option_5352((GF_BaseInterface_9799 *) gf_term_get_service_interface_6623(ch_1115->owner_2345->service_4236), ""Streaming_5696"", ""ForceFirstPort_7013"");
	if (opt_5400) def_first_port_8436 = atoi_1940(opt_5400);

	opt_5400 = gf_modules_get_option_5352((GF_BaseInterface_9799 *) gf_term_get_service_interface_6623(ch_1115->owner_2345->service_4236), ""Streaming_5696"", ""ForceMulticastIP_6801"");

	//setup_2239 ports_9930 if unicast_5628 non_8269 interleaved_5324 or_7724 multicast_9106
	if (gf_rtp_is_unicast_1894(ch_1115->rtp_ch_7051) && (ch_1115->owner_2345->transport_mode_4936 != 1) && !gf_rtp_is_interleaved_5411(ch_1115->rtp_ch_7051) ) {
		gf_rtp_set_ports_2038(ch_1115->rtp_ch_7051, def_first_port_8436);
	} else if (opt_5400) {
		gf_rtp_set_ports_2038(ch_1115->rtp_ch_7051, def_first_port_8436);
	}

	trans_4663 = gf_rtsp_transport_clone_6431(gf_rtp_get_transport_8020(ch_1115->rtp_ch_7051));

	/*some_8270 servers_2433 get_2172 confused_7362 when_8139 trying_4189 to_8498 resetup_7070 on_7042 the_4491 same_3872 remote_6735 ports_9930, so_3182 reset_2157 info_1612*/
	trans_4663->port_first_7248 = trans_4663->port_last_1714 = 0;
	trans_4663->SSRC_6671 = 0;

	/*override_8301 transport_8914: */
		/*1: multicast_9106 forced_7206*/
	opt_5400 = gf_modules_get_option_5352((GF_BaseInterface_9799 *) gf_term_get_service_interface_6623(ch_1115->owner_2345->service_4236), ""Streaming_5696"", ""ForceMulticastIP_6801"");
	if (opt_5400) {
		trans_4663->IsUnicast_7253 = 0;
		trans_4663->destination_2269 = gf_strdup_8334(opt_5400);
		opt_5400 = gf_modules_get_option_5352((GF_BaseInterface_9799 *) gf_term_get_service_interface_6623(ch_1115->owner_2345->service_4236), ""Streaming_5696"", ""ForceMulticastTTL_4787"");
		trans_4663->TTL_8702 = opt_5400 ? atoi_1940(opt_5400) : 127;
		if (trans_4663->Profile_8070) gf_free_7084(trans_4663->Profile_8070);
		trans_4663->Profile_8070 = gf_strdup_8334(GF_RTSP_PROFILE_RTP_AVP_3918);
		if (!(ch_1115->rtsp_9739->flags_4199 & RTSP_DSS_SERVER_1901) ) {
			trans_4663->port_first_7248 = trans_4663->client_port_first_4602;
			trans_4663->port_last_1714 = trans_4663->client_port_last_2644;
			/*this_7630 is_6101 correct_1188 but_1351 doesn_9025't_6920 work_1553 with_2402 DSS_6067: the_4491 server_6470 expects_5917 ""client_port_7756"" to_8498 indicate_3622 
			the_4491 multicast_9106 port_5618, not_6614 ""port_5618"" - this_7630 will_6266 send_6502 both_1671*/
			//trans_4663->client_port_first_4602 = trans_4663->client_port_last_2644 = 0;
		}
		gf_rtp_setup_transport_8751(ch_1115->rtp_ch_7051, trans_4663, NULL);
	}
		/*2: RTP_1748 over_4505 RTSP_5027 forced_7206*/
	else if (ch_1115->rtsp_9739->flags_4199 & RTSP_FORCE_INTER_1874) {
		if (trans_4663->Profile_8070) gf_free_7084(trans_4663->Profile_8070);
		trans_4663->Profile_8070 = gf_strdup_8334(GF_RTSP_PROFILE_RTP_AVP_TCP_8955);
		gf_rtp_setup_transport_8751(ch_1115->rtp_ch_7051, trans_4663, NULL);
	}

	if (trans_4663->source_2576) {
		gf_free_7084(trans_4663->source_2576);
		trans_4663->source_2576 = NULL;
	}

	/*turn_1218 off_7306 interleaving_3159 in_2896 case_9608 of_8073 re_1968-setup_2239, some_8270 servers_2433 don_8909't_6920 like_9516 it_3307 (we_5693 still_6751 signal_3835 it_3307
	through_1566 RTP_1748/AVP_3006/TCP_3595 profile_4726 so_3182 it_3307's_8927 OK_8384)*/
	trans_4663->IsInterleaved_8117 = 0;
	gf_list_add_6034(com_8803->Transports_9736, trans_4663);
	if (strlen_1833(ch_1115->control_2052)) com_8803->ControlString_2208 = gf_strdup_8334(ch_1115->control_2052);

	com_8803->user_data_2567 = ch_1115;
	ch_1115->status_4271 = RTP_WaitingForAck_8798;

	RP_QueueCommand_9013(ch_1115->rtsp_9739, ch_1115, com_8803, 1);
}",3,1,1
"normalize_4169(string_2382 s_4938)
{
  int i_6536 = 0, j_7511;

  if (!s_4938) return newstring_2892("""");

  for (j_7511 = 0; isspace_6010(s_4938[j_7511]); j_7511++) ;		/* Skip_5819 initial_8801 whitespace_2564 */

  for (; s_4938[j_7511]; j_7511++)
    if (isupper_2517(s_4938[j_7511])) s_4938[i_6536++] = tolower_2586(s_4938[j_7511]);	/* Upper_8429 -> lowercase_3118 */
    else if (isalnum_5560(s_4938[j_7511])) s_4938[i_6536++] = s_4938[j_7511];	/* Keep_3297 these_6938 */
    else if (strchr_6400(extras_5904, s_4938[j_7511])) s_4938[i_6536++] = s_4938[j_7511]; /* Keep_3297 these_6938, too_3478 */
    else if (! isspace_6010(s_4938[j_7511])) ;			/* Skip_5819 rest_4768, except_5449 spaces_8852 */
    else if (s_4938[i_6536-1] != ' ') s_4938[i_6536++] = ' ';	/* Collapse_2424 whitespace_2564 */

  for (; i_6536 > 0 && s_4938[i_6536-1] == ' '; i_6536--) ;		/* Remove_2085 trailing_8849 spaces_8852 */

  s_4938[i_6536] = '\0';
  return s_4938;
}",3,1,1
"get_empty_artifactlist_4881(void_4213) {
    artifactlist_7753 *tl_7380 = (artifactlist_7753 *)malloc_1645(sizeof_3195(artifactlist_7753));
    if (tl_7380 == NULL)
        fatal_2641(OUT_OF_MEMORY_1326);
    tl_7380->next_5633 = NULL;
    tl_7380->items_4633 = NULL;
    tl_7380->total_chance_1132 = 0;
    return tl_7380;
}",3,1,1
"init_display_9074(void_4380)
{
	const_7043 char_8888 *term_9525;
	int x_1166, y_1458;

	/* Initialize_5499 the_3357 curses_7047 library_8259 */
	if (isatty_4049(STDIN_FILENO_2353)) {
		cursed_4368 = !!initscr_7254();
		opt_tty_6515 = stdin_5552;
	} else {
		/* Leave_6748 stdin_5552 and_2752 stdout_8676 alone_2347 when_7235 acting_4996 as_1863 a_2126 pager_1452. */
		opt_tty_6515 = fopen_9837(""/dev_8668/tty_2115"", ""r_5780+"");
		if (!opt_tty_6515)
			die_2562(""Failed_3658 to_8623 open_7617 /dev_8668/tty_2115"");
		cursed_4368 = !!newterm_4932(NULL, opt_tty_6515, opt_tty_6515);
	}

	if (!cursed_4368)
		die_2562(""Failed_3658 to_8623 initialize_5277 curses_7047"");

	nonl_8853();		/* Disable_2547 conversion_3070 and_2752 detect_7412 newlines_3941 from_1438 input_6679. */
	cbreak_9174();       /* Take_9603 input_6679 chars_6244 one_1902 at_8231 a_2126 time_4928, no_6155 wait_5990 for \n_4973 */
	noecho_9249();       /* Don_4705't_1360 echo_9367 input_6679 */
	leaveok_8224(stdscr_3768, FALSE_2152);

	if (has_colors_6906())
		init_colors_6990();

	getmaxyx_5772(stdscr_3768, y_1458, x_1166);
	status_win_6494 = newwin_6988(1, x_1166, y_1458 - 1, 0);
	if (!status_win_6494)
		die_2562(""Failed_3658 to_8623 create_6443 status_6695 window_7835"");

	/* Enable_5352 keyboard_3646 mapping_5433 */
	keypad_8917(status_win_6494, TRUE_8566);
	wbkgdset_7364(status_win_6494, get_line_attr_9074(LINE_STATUS_3485));

#if defined_3784(NCURSES_VERSION_PATCH_8294) && (NCURSES_VERSION_PATCH_8294 >= 20080119)
	set_tabsize_9534(opt_tab_size_5935);
#else
	TABSIZE_7914 = opt_tab_size_5935;
#endif_2065

	term_9525 = getenv_2464(""XTERM_VERSION_7599"") ? NULL : getenv_2464(""COLORTERM_3255"");
	if (term_9525 && !strcmp_1973(term_9525, ""gnome_6459-terminal_9917"")) {
		/* In_4961 the_3357 gnome_6459-terminal_9917-emulator_8217, the_3357 message_2486 from_1438
		 * scrolling_6138 up_2190 one_1902 line_3407 when_7235 impossible_2615 followed_8712 by_4645
		 * scrolling_6138 down_5762 one_1902 line_3407 causes_1231 corruption_9755 of_8531 the_3357
		 * status_6695 line_3407. This_8623 is_7384 fixed_2849 by_4645 calling_8092 wclear_4738. */
		use_scroll_status_wclear_8509 = TRUE_8566;
		use_scroll_redrawwin_6678 = FALSE_2152;

	} else if (term_9525 && !strcmp_1973(term_9525, ""xrvt_8954-xpm_1965"")) {
		/* No_1054 problems_8232 with_3674 full_2326 optimizations_8941 in_6820 xrvt_8954-(unicode_5971)
		 * and_2752 aterm_5933. */
		use_scroll_status_wclear_8509 = use_scroll_redrawwin_6678 = FALSE_2152;

	} else {
		/* When_8579 scrolling_6138 in_6820 (u_3973)xterm_4815 the_3357 last_7093 line_3407 in_6820 the_3357
		 * scrolling_6138 direction_4173 will_7536 update_1835 slowly_3540. */
		use_scroll_redrawwin_6678 = TRUE_8566;
		use_scroll_status_wclear_8509 = FALSE_2152;
	}
}",3,1,1
"HTS_Question_load_6416(HTS_Question_6968 * question_9221, HTS_File_9335 * fp_5300)
{
   char_8508 buff_6316[HTS_MAXBUFLEN_5311];
   HTS_Pattern_9769 *pattern_9587, *last_pattern_2477;

   if (question_9221 == NULL || fp_5300 == NULL)
      return FALSE_4359;

   HTS_Question_clear_8909(question_9221);

   /* get_6413 question_9221 name_9602 */
   if (HTS_get_pattern_token_6224(fp_5300, buff_6316) == FALSE_4359)
      return FALSE_4359;
   question_9221->string_8130 = HTS_strdup_9635(buff_6316);

   /* get_6413 pattern_9587 list_9058 */
   if (HTS_get_pattern_token_6224(fp_5300, buff_6316) == FALSE_4359) {
      HTS_Question_clear_8909(question_9221);
      return FALSE_4359;
   }

   last_pattern_2477 = NULL;
   if (strcmp_5434(buff_6316, ""{"") == 0) {
      while (1) {
         if (HTS_get_pattern_token_6224(fp_5300, buff_6316) == FALSE_4359) {
            HTS_Question_clear_8909(question_9221);
            return FALSE_4359;
         }
         pattern_9587 = (HTS_Pattern_9769 *) HTS_calloc_9144(1, sizeof_1602(HTS_Pattern_9769));
         if (question_9221->head_8676 != NULL)
            last_pattern_2477->next_8123 = pattern_9587;
         else                   /* first_7733 time_9259 */
            question_9221->head_8676 = pattern_9587;
         pattern_9587->string_8130 = HTS_strdup_9635(buff_6316);
         pattern_9587->next_8123 = NULL;
         if (HTS_get_pattern_token_6224(fp_5300, buff_6316) == FALSE_4359) {
            HTS_Question_clear_8909(question_9221);
            return FALSE_4359;
         }
         if (!strcmp_5434(buff_6316, ""}""))
            break_2873;
         last_pattern_2477 = pattern_9587;
      }
   }
   return TRUE_3089;
}",3,1,1
"pg_available_extensions_2027(PG_FUNCTION_ARGS_2656)
{
	ReturnSetInfo_2536 *rsinfo_3332 = (ReturnSetInfo_2536 *) fcinfo_1981->resultinfo_5941;
	TupleDesc_6127	tupdesc_6147;
	Tuplestorestate_4942 *tupstore_9763;
	MemoryContext_9271 per_query_ctx_8962;
	MemoryContext_9271 oldcontext_5885;
	char_7120	   *location_9236;
	DIR_9445		   *dir_2532;
	struct dirent_1135 *de_4754;

	/* check_7679 to_3773 see_7782 if caller_1018 supports_4174 us_8365 returning_9449 a_2875 tuplestore_8096 */
	if (rsinfo_3332 == NULL || !IsA_8550(rsinfo_3332, ReturnSetInfo_2536))
		ereport_7754(ERROR_3201,
				(errcode_6336(ERRCODE_FEATURE_NOT_SUPPORTED_6470),
				 errmsg_3624(""set_8238-valued_3610 function_6303 called_8567 in_5135 context_2920 that_4967 cannot_7632 accept_9882 a_2875 set_8238"")));
	if (!(rsinfo_3332->allowedModes_2163 & SFRM_Materialize_6506))
		ereport_7754(ERROR_3201,
				(errcode_6336(ERRCODE_FEATURE_NOT_SUPPORTED_6470),
				 errmsg_3624(""materialize_2090 mode_3859 required_3524, but_2549 it_2503 is_2618 not_7143 "" \
						""allowed_5048 in_5135 this_3845 context_2920"")));

	/* Build_8631 a_2875 tuple_6542 descriptor_7120 for our_7401 result_7971 type_7667 */
	if (get_call_result_type_8553(fcinfo_1981, NULL, &tupdesc_6147) != TYPEFUNC_COMPOSITE_1906)
		elog_1948(ERROR_3201, ""return type_7667 must_5946 be_2243 a_2875 row_4099 type_7667"");

	/* Build_8631 tuplestore_8096 to_3773 hold_1620 the_2224 result_7971 rows_8721 */
	per_query_ctx_8962 = rsinfo_3332->econtext_9368->ecxt_per_query_memory_7299;
	oldcontext_5885 = MemoryContextSwitchTo_6121(per_query_ctx_8962);

	tupstore_9763 = tuplestore_begin_heap_8646(true_1676, false_3249, work_mem_2241);
	rsinfo_3332->returnMode_9189 = SFRM_Materialize_6506;
	rsinfo_3332->setResult_7962 = tupstore_9763;
	rsinfo_3332->setDesc_2863 = tupdesc_6147;

	MemoryContextSwitchTo_6121(oldcontext_5885);

	location_9236 = get_extension_control_directory_3162();
	dir_2532 = AllocateDir_5318(location_9236);

	/*
	 * If_8872 the_2224 control_4661 directory_7741 doesn_6420't_9897 exist_7715, we_8989 want_3646 to_3773 silently_5042 return an_7333
	 * empty_5743 set_8238.  Any_3931 other_3997 error_1402 will_5988 be_2243 reported_1407 by_8595 ReadDir_2356.
	 */
	if (dir_2532 == NULL && errno_6310 == ENOENT_4040)
	{
		/* do_4606 nothing_2544 */
	}
	else
	{
		while ((de_4754 = ReadDir_2356(dir_2532, location_9236)) != NULL)
		{
			ExtensionControlFile_3301 *control_4661;
			char_7120	   *extname_5135;
			Datum_4270		values_9018[3];
			bool_9540		nulls_6181[3];

			if (!is_extension_control_filename_8954(de_4754->d_name_6422))
				continue_5450;

			/* extract_6093 extension_5710 name_5808 from_7252 'name_5808.control_4661' filename_7718 */
			extname_5135 = pstrdup_7858(de_4754->d_name_6422);
			*strrchr_7593(extname_5135, '.') = '\0';

			/* ignore_5499 it_2503 if it_2503's_2760 an_7333 auxiliary_4710 control_4661 file_1476 */
			if (strstr_6265(extname_5135, ""--""))
				continue_5450;

			control_4661 = read_extension_control_file_7839(extname_5135);

			memset_6665(values_9018, 0, sizeof_3398(values_9018));
			memset_6665(nulls_6181, 0, sizeof_3398(nulls_6181));

			/* name_5808 */
			values_9018[0] = DirectFunctionCall1_1642(namein_6398,
											CStringGetDatum_2541(control_4661->name_5808));
			/* default_version_3330 */
			if (control_4661->default_version_3330 == NULL)
				nulls_6181[1] = true_1676;
			else
				values_9018[1] = CStringGetTextDatum_3340(control_4661->default_version_3330);
			/* comment_8967 */
			if (control_4661->comment_8967 == NULL)
				nulls_6181[2] = true_1676;
			else
				values_9018[2] = CStringGetTextDatum_3340(control_4661->comment_8967);

			tuplestore_putvalues_2520(tupstore_9763, tupdesc_6147, values_9018, nulls_6181);
		}

		FreeDir_7638(dir_2532);
	}

	/* clean_9309 up_9132 and_8473 return the_2224 tuplestore_8096 */
	tuplestore_donestoring_1775(tupstore_9763);

	return (Datum_4270) 0;
}",3,1,1
"gfork_l_opts_log_file_5161(
    globus_options_handle_t_1800             opts_handle_6004,
    char_6367 *                              cmd_6908,
    char_6367 **                             opt_2328,
    void_7183 *                              arg_5858,
    int *                               out_parms_used_1185)
{
    gfork_i_options_t_8039 *                 gfork_h_1415;
    globus_result_t_9757                     result_8565;
    FILE_4573 *                              fptr_5201;
    GForkFuncName_2260(gfork_l_opts_log_file_5161);

    gfork_h_1415 = (gfork_i_options_t_8039 *) arg_5858;

    if(strcmp_1226(opt_2328[0], ""-"") == 0)
    {
        gfork_h_1415->log_fptr_6918 = stdout_6322;
    }
    else
    {
        fptr_5201 = fopen_6257(opt_2328[0], ""w_6492"");
        if(fptr_5201 == NULL)
        {
            result_8565 = GForkErrorStr_8352(""Could_9831 not_3205 open_4285 log_1988 file_5885"");
            goto_9938 error_7411;
        }
        gfork_h_1415->log_fptr_6918 = fptr_5201;
    }

    *out_parms_used_1185 = 1;
    return GLOBUS_SUCCESS_9773;
error_7411:
    return result_8565;
}",3,1,1
"fn_wrapper_4472(struct ast_filestream_6071 *s_2562, const_3898 char_9579 *comment_3773, enum_3037 wrap_fn_2007 mode_3687)
{
	struct ast_format_def_2749 *f_4898 = s_2562->fmt_9791;
	int ret_7064 = -1;
	int (*openfn_5707)(struct ast_filestream_6071 *s_2562);

	if (mode_3687 == WRAP_OPEN_4002 && (openfn_5707 = f_4898->open_7715) && openfn_5707(s_2562))
		ast_log_3164(LOG_WARNING_3452, ""Unable_5990 to_9631 open_7715 format_5209 %s_2562\n_6703"", f_4898->name_7467);
	else if (mode_3687 == WRAP_REWRITE_3398 && f_4898->rewrite_4783 && f_4898->rewrite_4783(s_2562, comment_3773))
		ast_log_3164(LOG_WARNING_3452, ""Unable_5990 to_9631 rewrite_4783 format_5209 %s_2562\n_6703"", f_4898->name_7467);
	else {
		/* preliminary_8690 checks_5666 succeed_2480. update_8832 usecount_1437 */
		ast_module_ref_8723(f_4898->module_6190);
		ret_7064 = 0;
	}
	return ret_7064;
}",3,1,1
